Date,ADRO.JK,ANTM.JK,BBCA.JK,BBNI.JK,PTBA.JK
2023-05-15,1055.9996337890625,1679.7498779296875,8186.5712890625,3897.88916015625,1841.78662109375
2023-05-16,1059.969482421875,1662.867919921875,8116.6005859375,3832.194091796875,1820.1820068359375
2023-05-17,1008.3604736328125,1633.32470703125,8186.5712890625,3832.194091796875,1766.170654296875
2023-05-19,956.7515869140625,1650.20654296875,8396.4833984375,3865.041748046875,1685.1536865234375
2023-05-22,976.6010131835938,1637.5450439453125,8396.4833984375,3875.99072265625,1706.7581787109375
2023-05-23,1007.7488403320312,1641.7655029296875,8513.1015625,3919.787353515625,1701.3570556640625
2023-05-24,990.1464233398438,1645.986083984375,8419.80859375,3865.041748046875,1679.75244140625
2023-05-25,932.9378662109375,1641.7655029296875,8443.130859375,3941.685302734375,1625.7412109375
2023-05-26,919.7359619140625,1620.6632080078125,8536.4248046875,3919.787353515625,1587.933349609375
2023-05-29,910.9345703125,1633.32470703125,8536.4248046875,3963.583740234375,1598.735595703125
2023-05-30,928.537353515625,1637.5450439453125,8629.7197265625,3952.634765625,1668.9503173828125
2023-05-31,897.732666015625,1599.560791015625,8443.130859375,3963.583740234375,1652.7469482421875
2023-06-05,924.1365356445312,1667.08837890625,8583.0712890625,3941.685302734375,1701.3570556640625
2023-06-06,976.9443969726562,1696.6317138671875,8536.4248046875,4029.278564453125,1771.572021484375
2023-06-07,954.9412231445312,1705.07275390625,8489.7783203125,4007.38037109375,1722.961669921875
2023-06-08,968.1431274414062,1675.5294189453125,8513.1015625,4029.278564453125,1782.3741455078125
2023-06-09,963.7424926757812,1667.08837890625,8489.7783203125,4040.2275390625,1825.5833740234375
2023-06-12,972.543701171875,1683.970458984375,8536.4248046875,4073.074951171875,1906.6002197265625
2023-06-13,972.543701171875,1696.6317138671875,8536.4248046875,3996.431396484375,1884.995849609375
2023-06-14,990.1464233398438,1713.513671875,8466.455078125,3930.736328125,1879.594482421875
2023-06-15,1012.1495361328125,1721.95458984375,8443.130859375,3985.48193359375,1960.611572265625
2023-06-16,1020.9508666992188,1738.8365478515625,8443.130859375,3952.634765625,2063.23291015625
2023-06-19,994.5469970703125,1713.513671875,8396.4833984375,3963.583740234375,2047.02978515625
2023-06-20,998.9475708007812,1705.07275390625,8443.130859375,3974.532958984375,2079.4365234375
2023-06-21,994.5469970703125,1696.6317138671875,8513.1015625,3985.48193359375,2079.4365234375
2023-06-22,994.5469970703125,1696.6317138671875,8443.130859375,3963.583740234375,2041.62841796875
2023-06-23,981.3450927734375,1696.6317138671875,8443.130859375,3952.634765625,1998.4195556640625
2023-06-26,972.543701171875,1713.77099609375,8466.455078125,3996.431396484375,2415.634033203125
2023-06-27,981.3450927734375,1713.77099609375,8536.4248046875,4007.38037109375,2055.206298828125
2023-07-03,1025.3515625,1726.953857421875,8466.455078125,4040.2275390625,2085.880859375
2023-07-04,1029.7523193359375,1731.3480224609375,8443.130859375,3985.48193359375,2093.549560546875
2023-07-05,1064.9573974609375,1744.5308837890625,8443.130859375,4007.38037109375,2131.89306640625
2023-07-06,1078.159423828125,1775.2908935546875,8466.455078125,3985.48193359375,2154.89892578125
2023-07-07,1047.3548583984375,1735.7423095703125,8419.80859375,3974.532958984375,2124.224365234375
